,Pickup_Point,Status,Request_Timestamp,Drop_Timestamp,Date
27,City,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,2016-07-15
28,City,Trip Completed,2016-11-07 13:08:00,2016-11-07 13:49:00,2016-11-07
29,Airport,Trip Completed,2016-12-07 06:21:00,2016-12-07 07:10:00,2016-12-07
30,City,Trip Completed,2016-12-07 09:27:00,2016-12-07 10:27:00,2016-12-07
31,City,Trip Completed,2016-12-07 16:09:00,2016-12-07 17:01:00,2016-12-07
32,Airport,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,2016-07-13
33,Airport,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,2016-07-13
34,City,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,2016-07-14
35,City,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,2016-07-14
36,Airport,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,2016-07-15
37,Airport,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,2016-07-15
38,City,Trip Completed,2016-11-07 07:27:00,2016-11-07 08:31:00,2016-11-07
39,Airport,Trip Completed,2016-11-07 11:03:00,2016-11-07 12:01:00,2016-11-07
40,City,Trip Completed,2016-11-07 20:58:00,2016-11-07 21:45:00,2016-11-07
41,Airport,Trip Completed,2016-12-07 08:40:00,2016-12-07 09:23:00,2016-12-07
42,City,Trip Completed,2016-12-07 14:48:00,2016-12-07 15:50:00,2016-12-07
43,City,Trip Completed,2016-12-07 21:32:00,2016-12-07 22:29:00,2016-12-07
44,City,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,2016-07-13
45,City,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,2016-07-13
46,City,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,2016-07-14
47,Airport,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,2016-07-15
48,Airport,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,2016-07-15
49,Airport,Trip Completed,2016-12-07 05:45:00,2016-12-07 06:28:00,2016-12-07
50,Airport,Trip Completed,2016-12-07 13:02:00,2016-12-07 13:51:00,2016-12-07
51,Airport,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35,2016-07-13
52,City,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24,2016-07-13
53,Airport,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27,2016-07-14
54,City,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14,2016-07-14
55,City,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43,2016-07-14
56,Airport,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39,2016-07-15
57,City,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55,2016-07-15
58,Airport,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53,2016-07-15
59,City,Trip Completed,2016-11-07 19:31:00,2016-11-07 20:41:00,2016-11-07
60,Airport,Trip Completed,2016-11-07 22:07:00,2016-11-07 23:12:00,2016-11-07
61,City,Trip Completed,2016-12-07 20:39:00,2016-12-07 21:28:00,2016-12-07
62,City,Trip Completed,2016-07-14 03:39:38,2016-07-14 04:39:04,2016-07-14
63,City,Trip Completed,2016-07-14 09:11:13,2016-07-14 10:17:01,2016-07-14
64,Airport,Trip Completed,2016-07-14 18:52:32,2016-07-14 19:50:57,2016-07-14
65,City,Trip Completed,2016-07-15 09:50:28,2016-07-15 10:40:39,2016-07-15
66,Airport,Trip Completed,2016-07-15 15:50:15,2016-07-15 16:36:56,2016-07-15
67,Airport,Trip Completed,2016-11-07 08:18:00,2016-11-07 09:18:00,2016-11-07
68,Airport,Trip Completed,2016-11-07 19:39:00,2016-11-07 20:30:00,2016-11-07
69,City,Trip Completed,2016-12-07 08:57:00,2016-12-07 09:24:00,2016-12-07
70,City,Trip Completed,2016-12-07 21:05:00,2016-12-07 22:20:00,2016-12-07
71,Airport,Trip Completed,2016-07-13 10:22:07,2016-07-13 11:07:02,2016-07-13
72,City,Trip Completed,2016-07-14 11:55:10,2016-07-14 12:59:34,2016-07-14
73,Airport,Trip Completed,2016-11-07 09:08:00,2016-11-07 09:52:00,2016-11-07
74,Airport,Trip Completed,2016-11-07 17:46:00,2016-11-07 18:52:00,2016-11-07
75,Airport,Trip Completed,2016-11-07 23:39:00,2016-12-07 00:23:00,2016-11-07
76,Airport,Trip Completed,2016-12-07 05:13:00,2016-12-07 05:56:00,2016-12-07
77,City,Trip Completed,2016-12-07 18:20:00,2016-12-07 18:54:00,2016-12-07
78,Airport,Trip Completed,2016-07-13 08:04:57,2016-07-13 08:36:37,2016-07-13
79,Airport,Trip Completed,2016-07-13 17:03:30,2016-07-13 17:31:49,2016-07-13
80,Airport,Trip Completed,2016-07-13 20:41:24,2016-07-13 21:27:29,2016-07-13
81,City,Trip Completed,2016-07-13 23:58:41,2016-07-14 00:58:39,2016-07-13
82,City,Trip Completed,2016-07-14 04:21:42,2016-07-14 05:07:07,2016-07-14
83,Airport,Trip Completed,2016-07-14 17:58:46,2016-07-14 19:02:42,2016-07-14
84,Airport,Trip Completed,2016-07-15 05:47:49,2016-07-15 06:25:49,2016-07-15
85,Airport,Trip Completed,2016-07-15 11:51:16,2016-07-15 12:32:12,2016-07-15
86,Airport,Trip Completed,2016-12-07 09:13:00,2016-12-07 10:01:00,2016-12-07
87,Airport,Trip Completed,2016-12-07 15:08:00,2016-12-07 16:14:00,2016-12-07
88,City,Trip Completed,2016-07-13 09:47:06,2016-07-13 10:52:37,2016-07-13
89,City,Trip Completed,2016-07-14 07:24:43,2016-07-14 08:22:09,2016-07-14
90,City,Trip Completed,2016-07-14 13:31:24,2016-07-14 14:10:56,2016-07-14
91,Airport,Trip Completed,2016-07-15 06:33:00,2016-07-15 07:19:53,2016-07-15
92,Airport,Trip Completed,2016-07-15 16:32:51,2016-07-15 17:44:44,2016-07-15
93,City,Trip Completed,2016-12-07 14:11:00,2016-12-07 15:02:00,2016-12-07
94,City,Trip Completed,2016-07-13 10:00:17,2016-07-13 11:02:52,2016-07-13
95,City,Trip Completed,2016-07-13 13:29:44,2016-07-13 14:09:00,2016-07-13
96,City,Trip Completed,2016-07-14 06:42:36,2016-07-14 07:12:41,2016-07-14
97,City,Trip Completed,2016-07-14 18:22:17,2016-07-14 19:14:36,2016-07-14
98,Airport,Trip Completed,2016-07-15 07:08:50,2016-07-15 07:59:00,2016-07-15
99,City,Trip Completed,2016-07-15 08:22:03,2016-07-15 09:13:04,2016-07-15
100,Airport,Trip Completed,2016-07-15 19:46:40,2016-07-15 20:26:51,2016-07-15
101,Airport,Trip Completed,2016-11-07 03:17:00,2016-11-07 04:09:00,2016-11-07
102,City,Trip Completed,2016-11-07 06:51:00,2016-11-07 07:40:00,2016-11-07
103,City,Trip Completed,2016-11-07 21:05:00,2016-11-07 21:38:00,2016-11-07
104,Airport,Trip Completed,2016-12-07 05:59:00,2016-12-07 06:59:00,2016-12-07
105,City,Trip Completed,2016-12-07 20:18:00,2016-12-07 21:26:00,2016-12-07
106,Airport,Trip Completed,2016-12-07 22:28:00,2016-12-07 23:05:00,2016-12-07
107,Airport,Trip Completed,2016-07-14 02:14:15,2016-07-14 03:13:09,2016-07-14
108,City,Trip Completed,2016-07-14 10:35:14,2016-07-14 11:39:01,2016-07-14
109,Airport,Trip Completed,2016-07-14 19:31:20,2016-07-14 20:14:03,2016-07-14
110,Airport,Trip Completed,2016-07-15 07:04:55,2016-07-15 08:12:37,2016-07-15
111,City,Trip Completed,2016-07-15 10:07:49,2016-07-15 10:50:50,2016-07-15
112,City,Trip Completed,2016-07-15 19:04:46,2016-07-15 19:46:04,2016-07-15
113,City,Trip Completed,2016-11-07 05:32:00,2016-11-07 06:28:00,2016-11-07
114,Airport,Trip Completed,2016-11-07 07:24:00,2016-11-07 08:28:00,2016-11-07
115,City,Trip Completed,2016-11-07 11:51:00,2016-11-07 12:42:00,2016-11-07
116,City,Trip Completed,2016-11-07 19:15:00,2016-11-07 19:57:00,2016-11-07
117,Airport,Trip Completed,2016-12-07 08:01:00,2016-12-07 08:42:00,2016-12-07
118,City,Trip Completed,2016-07-13 08:09:04,2016-07-13 09:12:19,2016-07-13
119,Airport,Trip Completed,2016-07-14 05:32:14,2016-07-14 06:45:32,2016-07-14
120,City,Trip Completed,2016-07-14 11:13:19,2016-07-14 12:00:12,2016-07-14
121,City,Trip Completed,2016-07-14 21:43:24,2016-07-14 22:24:13,2016-07-14
122,Airport,Trip Completed,2016-07-15 05:00:13,2016-07-15 06:02:27,2016-07-15
123,Airport,Trip Completed,2016-07-15 22:08:42,2016-07-15 22:41:18,2016-07-15
124,Airport,Trip Completed,2016-11-07 05:21:00,2016-11-07 06:09:00,2016-11-07
125,City,Trip Completed,2016-11-07 06:15:00,2016-11-07 07:07:00,2016-11-07
126,City,Trip Completed,2016-12-07 09:24:00,2016-12-07 10:07:00,2016-12-07
127,Airport,Trip Completed,2016-12-07 21:03:00,2016-12-07 22:14:00,2016-12-07
128,City,Trip Completed,2016-07-13 13:01:42,2016-07-13 13:55:59,2016-07-13
129,City,Trip Completed,2016-07-14 21:45:50,2016-07-14 22:16:40,2016-07-14
130,Airport,Trip Completed,2016-07-15 17:34:25,2016-07-15 18:33:13,2016-07-15
131,Airport,Trip Completed,2016-07-15 23:32:44,2016-07-16 00:37:46,2016-07-15
132,Airport,Trip Completed,2016-11-07 19:18:00,2016-11-07 20:24:00,2016-11-07
133,Airport,Trip Completed,2016-12-07 23:43:00,2016-07-13 00:35:12,2016-12-07
134,City,Trip Completed,2016-07-13 09:39:44,2016-07-13 10:30:58,2016-07-13
135,City,Trip Completed,2016-07-13 21:52:05,2016-07-13 22:21:15,2016-07-13
136,City,Trip Completed,2016-07-14 08:42:46,2016-07-14 09:22:01,2016-07-14
137,Airport,Trip Completed,2016-07-14 20:34:30,2016-07-14 21:05:18,2016-07-14
138,City,Trip Completed,2016-07-15 12:22:35,2016-07-15 13:25:27,2016-07-15
139,Airport,Trip Completed,2016-07-15 20:02:54,2016-07-15 20:40:45,2016-07-15
140,City,Trip Completed,2016-11-07 11:25:00,2016-11-07 12:31:00,2016-11-07
141,City,Trip Completed,2016-11-07 14:16:00,2016-11-07 15:03:00,2016-11-07
142,Airport,Trip Completed,2016-11-07 20:50:00,2016-11-07 21:52:00,2016-11-07
143,Airport,Trip Completed,2016-12-07 23:23:00,2016-07-13 00:27:21,2016-12-07
144,City,Trip Completed,2016-07-13 05:05:16,2016-07-13 05:56:11,2016-07-13
145,Airport,Trip Completed,2016-07-13 10:12:51,2016-07-13 10:45:28,2016-07-13
146,Airport,Trip Completed,2016-07-13 15:32:01,2016-07-13 16:45:44,2016-07-13
147,Airport,Trip Completed,2016-07-13 22:26:26,2016-07-13 22:55:54,2016-07-13
148,City,Trip Completed,2016-07-14 04:37:11,2016-07-14 05:46:29,2016-07-14
149,City,Trip Completed,2016-07-14 08:36:24,2016-07-14 09:19:20,2016-07-14
150,City,Trip Completed,2016-07-14 14:04:13,2016-07-14 15:06:40,2016-07-14
151,Airport,Trip Completed,2016-07-14 22:51:47,2016-07-14 23:53:42,2016-07-14
152,City,Trip Completed,2016-07-15 16:11:02,2016-07-15 17:30:08,2016-07-15
153,Airport,Trip Completed,2016-07-15 20:33:00,2016-07-15 21:32:49,2016-07-15
154,City,Trip Completed,2016-11-07 12:25:00,2016-11-07 13:06:00,2016-11-07
155,Airport,Trip Completed,2016-11-07 18:25:00,2016-11-07 19:26:00,2016-11-07
156,Airport,Trip Completed,2016-12-07 22:10:00,2016-12-07 23:25:00,2016-12-07
157,City,Trip Completed,2016-07-13 07:33:20,2016-07-13 08:26:07,2016-07-13
158,City,Trip Completed,2016-07-14 14:54:16,2016-07-14 15:39:03,2016-07-14
159,City,Trip Completed,2016-07-14 18:47:42,2016-07-14 19:43:44,2016-07-14
160,Airport,Trip Completed,2016-07-14 23:35:34,2016-07-15 00:25:26,2016-07-14
161,Airport,Trip Completed,2016-07-15 04:48:57,2016-07-15 05:47:13,2016-07-15
162,Airport,Trip Completed,2016-07-15 11:48:32,2016-07-15 12:55:02,2016-07-15
163,Airport,Trip Completed,2016-07-15 20:21:26,2016-07-15 21:00:31,2016-07-15
164,City,Trip Completed,2016-11-07 09:39:00,2016-11-07 10:16:00,2016-11-07
165,Airport,Trip Completed,2016-11-07 20:42:00,2016-11-07 21:18:00,2016-11-07
166,Airport,Trip Completed,2016-12-07 03:14:00,2016-12-07 04:27:00,2016-12-07
167,Airport,Trip Completed,2016-12-07 09:12:00,2016-12-07 09:57:00,2016-12-07
168,Airport,Trip Completed,2016-12-07 11:32:00,2016-12-07 12:13:00,2016-12-07
169,City,Trip Completed,2016-07-13 01:46:42,2016-07-13 02:37:08,2016-07-13
170,City,Trip Completed,2016-07-13 05:28:29,2016-07-13 06:10:40,2016-07-13
171,Airport,Trip Completed,2016-07-13 22:35:38,2016-07-13 23:33:20,2016-07-13
172,City,Trip Completed,2016-07-14 16:47:15,2016-07-14 17:34:39,2016-07-14
173,Airport,Trip Completed,2016-07-14 20:57:41,2016-07-14 21:56:21,2016-07-14
174,City,Trip Completed,2016-07-15 09:43:57,2016-07-15 10:55:22,2016-07-15
175,City,Trip Completed,2016-11-07 09:36:00,2016-11-07 10:02:00,2016-11-07
176,City,Trip Completed,2016-12-07 05:21:00,2016-12-07 06:35:00,2016-12-07
177,City,Trip Completed,2016-12-07 14:30:00,2016-12-07 15:09:00,2016-12-07
178,Airport,Trip Completed,2016-12-07 21:29:00,2016-12-07 22:44:00,2016-12-07
179,Airport,Trip Completed,2016-07-13 21:06:57,2016-07-13 21:46:24,2016-07-13
180,Airport,Trip Completed,2016-07-14 06:11:51,2016-07-14 06:59:46,2016-07-14
181,City,Trip Completed,2016-07-14 08:00:15,2016-07-14 08:54:39,2016-07-14
182,City,Trip Completed,2016-07-15 10:03:42,2016-07-15 10:59:27,2016-07-15
183,Airport,Trip Completed,2016-07-15 12:04:15,2016-07-15 12:53:36,2016-07-15
184,City,Trip Completed,2016-11-07 09:20:00,2016-11-07 10:05:00,2016-11-07
185,Airport,Trip Completed,2016-11-07 13:51:00,2016-11-07 15:01:00,2016-11-07
186,City,Trip Completed,2016-11-07 21:05:00,2016-11-07 22:06:00,2016-11-07
187,City,Trip Completed,2016-12-07 16:08:00,2016-12-07 17:18:00,2016-12-07
188,Airport,Trip Completed,2016-12-07 18:46:00,2016-12-07 19:23:00,2016-12-07
189,City,Trip Completed,2016-07-13 12:40:58,2016-07-13 13:30:26,2016-07-13
190,City,Trip Completed,2016-07-13 19:33:19,2016-07-13 20:35:08,2016-07-13
191,City,Trip Completed,2016-07-14 08:45:13,2016-07-14 09:48:08,2016-07-14
192,City,Trip Completed,2016-07-15 19:50:57,2016-07-15 20:30:05,2016-07-15
193,City,Trip Completed,2016-12-07 10:20:00,2016-12-07 10:52:00,2016-12-07
194,Airport,Trip Completed,2016-12-07 12:23:00,2016-12-07 12:56:00,2016-12-07
195,Airport,Trip Completed,2016-07-13 20:28:11,2016-07-13 21:22:42,2016-07-13
196,Airport,Trip Completed,2016-07-14 08:26:32,2016-07-14 09:12:02,2016-07-14
197,Airport,Trip Completed,2016-07-15 13:11:04,2016-07-15 13:38:01,2016-07-15
198,City,Trip Completed,2016-07-15 20:54:20,2016-07-15 22:12:36,2016-07-15
199,City,Trip Completed,2016-11-07 05:05:00,2016-11-07 06:06:00,2016-11-07
200,City,Trip Completed,2016-11-07 08:01:00,2016-11-07 09:18:00,2016-11-07
201,Airport,Trip Completed,2016-11-07 13:02:00,2016-11-07 13:45:00,2016-11-07
202,City,Trip Completed,2016-11-07 18:28:00,2016-11-07 19:34:00,2016-11-07
203,Airport,Trip Completed,2016-11-07 21:01:00,2016-11-07 22:14:00,2016-11-07
204,City,Trip Completed,2016-12-07 10:32:00,2016-12-07 11:42:00,2016-12-07
205,City,Trip Completed,2016-12-07 21:01:00,2016-12-07 21:38:00,2016-12-07
206,City,Trip Completed,2016-07-13 08:02:03,2016-07-13 08:58:46,2016-07-13
207,Airport,Trip Completed,2016-07-13 12:24:41,2016-07-13 13:23:39,2016-07-13
208,City,Trip Completed,2016-07-13 18:39:00,2016-07-13 19:29:07,2016-07-13
209,Airport,Trip Completed,2016-07-14 15:39:24,2016-07-14 16:49:03,2016-07-14
210,City,Trip Completed,2016-07-14 20:17:51,2016-07-14 20:48:58,2016-07-14
211,Airport,Trip Completed,2016-07-14 23:27:22,2016-07-15 00:19:50,2016-07-14
212,City,Trip Completed,2016-07-15 05:53:55,2016-07-15 06:50:02,2016-07-15
213,City,Trip Completed,2016-07-15 09:52:57,2016-07-15 10:37:05,2016-07-15
214,Airport,Trip Completed,2016-07-15 22:45:44,2016-07-15 23:17:53,2016-07-15
215,Airport,Trip Completed,2016-11-07 09:48:00,2016-11-07 10:37:00,2016-11-07
216,City,Trip Completed,2016-11-07 15:53:00,2016-11-07 16:43:00,2016-11-07
217,Airport,Trip Completed,2016-12-07 00:22:00,2016-12-07 01:33:00,2016-12-07
218,City,Trip Completed,2016-12-07 06:09:00,2016-12-07 07:09:00,2016-12-07
219,Airport,Trip Completed,2016-12-07 07:52:00,2016-12-07 09:01:00,2016-12-07
220,City,Trip Completed,2016-12-07 16:36:00,2016-12-07 17:21:00,2016-12-07
221,City,Trip Completed,2016-07-13 03:07:37,2016-07-13 03:51:35,2016-07-13
222,City,Trip Completed,2016-07-14 06:17:01,2016-07-14 07:02:28,2016-07-14
223,City,Trip Completed,2016-07-14 12:25:02,2016-07-14 13:34:58,2016-07-14
224,City,Trip Completed,2016-07-15 02:23:56,2016-07-15 03:08:35,2016-07-15
225,City,Trip Completed,2016-07-15 04:53:42,2016-07-15 06:00:16,2016-07-15
226,City,Trip Completed,2016-07-15 08:35:47,2016-07-15 09:42:27,2016-07-15
227,Airport,Trip Completed,2016-07-15 10:54:27,2016-07-15 11:58:44,2016-07-15
228,City,Trip Completed,2016-07-15 15:26:06,2016-07-15 16:29:40,2016-07-15
229,Airport,Trip Completed,2016-11-07 08:00:00,2016-11-07 09:08:00,2016-11-07
230,City,Trip Completed,2016-11-07 19:52:00,2016-11-07 20:48:00,2016-11-07
231,Airport,Trip Completed,2016-07-13 00:34:03,2016-07-13 01:49:08,2016-07-13
232,City,Trip Completed,2016-07-13 04:56:20,2016-07-13 05:33:20,2016-07-13
233,City,Trip Completed,2016-07-13 12:23:02,2016-07-13 13:25:14,2016-07-13
234,Airport,Trip Completed,2016-07-13 15:52:07,2016-07-13 16:50:46,2016-07-13
235,Airport,Trip Completed,2016-07-13 20:35:24,2016-07-13 21:39:02,2016-07-13
236,City,Trip Completed,2016-07-14 04:48:09,2016-07-14 06:05:01,2016-07-14
237,City,Trip Completed,2016-07-14 12:06:27,2016-07-14 12:49:14,2016-07-14
238,Airport,Trip Completed,2016-07-14 18:21:52,2016-07-14 18:54:03,2016-07-14
239,City,Trip Completed,2016-07-14 21:29:35,2016-07-14 22:30:11,2016-07-14
240,City,Trip Completed,2016-07-15 08:46:30,2016-07-15 09:26:33,2016-07-15
241,Airport,Trip Completed,2016-07-15 15:45:16,2016-07-15 16:40:41,2016-07-15
242,Airport,Trip Completed,2016-07-15 18:41:22,2016-07-15 19:53:29,2016-07-15
243,City,Trip Completed,2016-11-07 16:23:00,2016-11-07 17:21:00,2016-11-07
244,City,Trip Completed,2016-11-07 20:20:00,2016-11-07 21:18:00,2016-11-07
245,Airport,Trip Completed,2016-12-07 23:35:00,2016-07-13 00:40:52,2016-12-07
246,City,Trip Completed,2016-07-13 05:27:26,2016-07-13 06:19:18,2016-07-13
247,City,Trip Completed,2016-07-13 14:59:08,2016-07-13 15:57:24,2016-07-13
248,City,Trip Completed,2016-07-13 18:31:29,2016-07-13 19:31:56,2016-07-13
249,City,Trip Completed,2016-07-13 20:38:10,2016-07-13 21:21:24,2016-07-13
250,City,Trip Completed,2016-07-14 09:48:56,2016-07-14 10:22:52,2016-07-14
251,City,Trip Completed,2016-07-14 17:37:44,2016-07-14 18:41:40,2016-07-14
252,Airport,Trip Completed,2016-07-15 05:41:11,2016-07-15 06:53:22,2016-07-15
253,City,Trip Completed,2016-07-15 17:11:08,2016-07-15 18:08:11,2016-07-15
254,City,Trip Completed,2016-07-15 22:07:14,2016-07-15 22:54:02,2016-07-15
255,City,Trip Completed,2016-11-07 07:31:00,2016-11-07 08:10:00,2016-11-07
256,City,Trip Completed,2016-11-07 17:04:00,2016-11-07 18:06:00,2016-11-07
257,Airport,Trip Completed,2016-11-07 18:14:00,2016-11-07 19:09:00,2016-11-07
258,City,Trip Completed,2016-11-07 21:51:00,2016-11-07 23:00:00,2016-11-07
259,City,Trip Completed,2016-07-13 05:20:16,2016-07-13 06:14:07,2016-07-13
260,City,Trip Completed,2016-07-13 08:54:04,2016-07-13 09:22:42,2016-07-13
261,City,Trip Completed,2016-07-13 16:12:53,2016-07-13 17:13:44,2016-07-13
262,Airport,Trip Completed,2016-07-13 22:50:42,2016-07-13 23:27:43,2016-07-13
263,Airport,Trip Completed,2016-07-15 19:33:00,2016-07-15 20:16:57,2016-07-15
264,City,Trip Completed,2016-11-07 06:04:00,2016-11-07 06:44:00,2016-11-07
265,Airport,Trip Completed,2016-11-07 12:20:00,2016-11-07 13:10:00,2016-11-07
266,City,Trip Completed,2016-11-07 16:19:00,2016-11-07 17:25:00,2016-11-07
267,Airport,Trip Completed,2016-12-07 09:03:00,2016-12-07 09:58:00,2016-12-07
268,City,Trip Completed,2016-12-07 12:10:00,2016-12-07 12:49:00,2016-12-07
269,Airport,Trip Completed,2016-12-07 15:51:00,2016-12-07 17:02:00,2016-12-07
270,Airport,Trip Completed,2016-12-07 20:43:00,2016-12-07 21:20:00,2016-12-07
271,Airport,Trip Completed,2016-07-13 05:50:09,2016-07-13 06:27:07,2016-07-13
272,Airport,Trip Completed,2016-07-13 20:24:23,2016-07-13 20:48:05,2016-07-13
273,Airport,Trip Completed,2016-07-14 08:26:29,2016-07-14 09:00:36,2016-07-14
274,City,Trip Completed,2016-07-14 21:09:47,2016-07-14 21:52:37,2016-07-14
275,Airport,Trip Completed,2016-07-15 18:59:01,2016-07-15 19:35:10,2016-07-15
276,City,Trip Completed,2016-07-15 21:59:10,2016-07-15 23:13:18,2016-07-15
277,City,Trip Completed,2016-11-07 04:50:00,2016-11-07 05:26:00,2016-11-07
278,City,Trip Completed,2016-11-07 21:17:00,2016-11-07 21:53:00,2016-11-07
279,Airport,Trip Completed,2016-12-07 07:44:00,2016-12-07 08:40:00,2016-12-07
280,City,Trip Completed,2016-07-13 04:33:38,2016-07-13 05:13:54,2016-07-13
281,Airport,Trip Completed,2016-07-13 09:51:41,2016-07-13 10:24:39,2016-07-13
282,Airport,Trip Completed,2016-07-13 19:56:20,2016-07-13 20:47:17,2016-07-13
283,Airport,Trip Completed,2016-07-14 18:02:23,2016-07-14 18:58:49,2016-07-14
284,Airport,Trip Completed,2016-07-15 20:54:01,2016-07-15 21:53:29,2016-07-15
285,City,Trip Completed,2016-07-15 23:02:36,2016-07-16 00:12:12,2016-07-15
286,Airport,Trip Completed,2016-12-07 06:26:00,2016-12-07 07:18:00,2016-12-07
287,Airport,Trip Completed,2016-12-07 12:05:00,2016-12-07 13:12:00,2016-12-07
288,City,Trip Completed,2016-07-13 05:18:31,2016-07-13 06:18:22,2016-07-13
289,Airport,Trip Completed,2016-07-13 06:34:13,2016-07-13 07:28:05,2016-07-13
290,City,Trip Completed,2016-07-13 13:47:14,2016-07-13 14:51:51,2016-07-13
291,Airport,Trip Completed,2016-07-13 18:07:42,2016-07-13 19:12:22,2016-07-13
292,City,Trip Completed,2016-07-13 20:30:08,2016-07-13 21:42:32,2016-07-13
293,Airport,Trip Completed,2016-07-14 09:48:17,2016-07-14 10:49:39,2016-07-14
294,Airport,Trip Completed,2016-07-15 18:29:54,2016-07-15 19:42:21,2016-07-15
295,City,Trip Completed,2016-07-15 19:53:52,2016-07-15 20:26:32,2016-07-15
296,Airport,Trip Completed,2016-11-07 09:45:00,2016-11-07 10:24:00,2016-11-07
297,Airport,Trip Completed,2016-12-07 03:02:00,2016-12-07 03:55:00,2016-12-07
298,Airport,Trip Completed,2016-12-07 07:18:00,2016-12-07 08:10:00,2016-12-07
299,Airport,Trip Completed,2016-12-07 16:14:00,2016-12-07 16:48:00,2016-12-07
300,City,Trip Completed,2016-12-07 22:46:00,2016-12-07 23:18:00,2016-12-07
301,City,Trip Completed,2016-07-13 08:41:49,2016-07-13 09:41:42,2016-07-13
302,Airport,Trip Completed,2016-07-13 20:15:54,2016-07-13 20:55:01,2016-07-13
303,Airport,Trip Completed,2016-07-14 08:13:15,2016-07-14 09:13:10,2016-07-14
304,City,Trip Completed,2016-07-14 16:43:53,2016-07-14 17:56:08,2016-07-14
305,City,Trip Completed,2016-07-15 04:59:58,2016-07-15 05:34:09,2016-07-15
306,Airport,Trip Completed,2016-07-15 20:19:45,2016-07-15 21:01:21,2016-07-15
307,Airport,Trip Completed,2016-07-15 23:23:55,2016-07-16 00:11:55,2016-07-15
308,Airport,Trip Completed,2016-11-07 12:14:00,2016-11-07 13:00:00,2016-11-07
